Production Order No.,Line No.,Item No.,Quantity,Unit of Measure,Location Code,Bin Code,EntryType,Date Time,User,Status,Error,Error Message
P00_G1251_050425,153000,KG,11,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,154000,P05_G1194_050425,46,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,155000,G1102,23,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,156000,KG,23,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,157000,G1194,23,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,158000,KG,23,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,159000,P05_G1195_050425,38,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,160000,G1102,19,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,161000,KG,19,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,162000,G1195,19,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,163000,KG,19,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,164000,P05_G1196_050425,50,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,165000,G1102,25,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,166000,KG,25,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,167000,G1196,25,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,168000,KG,25,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,169000,P05_G1197_050425,40,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,170000,G1102,20,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,171000,KG,20,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,172000,G1197,20,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,173000,KG,20,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,174000,P05_G1224_050425,6,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,175000,G1102,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,176000,KG,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,177000,G1224,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,178000,KG,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,179000,P05_G1225_050425,60,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,180000,G1102,30,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,181000,KG,30,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,182000,G1225,30,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,183000,KG,30,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,184000,P05_G1229_050425,16,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,185000,G1102,8,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,186000,KG,8,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,187000,G1229,8,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,188000,KG,8,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,189000,P05_G1230_050425,84,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,190000,G1102,42,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,191000,KG,42,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,192000,G1230,42,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,193000,KG,42,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,194000,P05_G1334_050425,64,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,195000,G1102,32,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,196000,KG,32,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,197000,G1334,32,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,198000,KG,32,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,199000,P06_G1160_050425,6,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,200000,G1101,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,201000,KG,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,202000,G1160,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,203000,KG,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,204000,P06_G1161_050425,12,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,205000,G1101,6,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,206000,KG,6,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,207000,G1161,6,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,208000,KG,6,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,209000,P06_G1162_050425,84,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,210000,G1101,42,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,211000,KG,42,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,212000,G1162,42,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,213000,KG,42,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,214000,P06_G1164_050425,222,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,215000,G1101,111,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,216000,KG,111,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,217000,G1164,111,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,218000,KG,111,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,219000,P06_G1168_050425,96,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,220000,G1101,48,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,221000,KG,48,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,222000,G1168,48,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,223000,KG,48,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,224000,P06_G1227_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,225000,G1101,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,226000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,227000,G1227,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,228000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,229000,P06_G1229_050425,14,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
